Film,Year,Awards,Nominations,BestPicture
Amour,2012,1,5,0
Anna Karenina,2012,1,4,0
Argo,2012,3,7,1
Brave,2012,1,1,0
Curfew,2012,1,1,0
Django Unchained,2012,2,5,0
Les Miserables,2012,3,8,0
Life of Pi,2012,4,11,0
Lincoln,2012,2,12,0
Searching for Sugar Man,2012,1,1,0
Silver Linings Playbook,2012,1,8,0
Skyfall,2012,2,5,0
Zero Dark Thirty,2012,1,5,0
The Artist,2011,5,10,1
Beginners,2011,1,1,0
The Descendants,2011,1,5,0
The Fantastic Flying Books of Mr. Morris Lessmore,2011,1,1,0
The Girl with the Dragon Tattoo,2011,1,5,0
The Help,2011,1,4,0
Hugo,2011,5,11,0
The Iron Lady,2011,2,2,0
Midnight in Paris,2011,1,4,0
The Muppets,2011,1,1,0
Rango,2011,1,1,0
Saving Face,2011,1,1,0
A Separation,2011,1,2,0
The Shore,2011,1,1,0
Undefeated,2011,1,1,0
Alice in Wonderland,2010,2,3,0
Black Swan,2010,1,5,0
The Fighter,2010,2,7,0
God of Love,2010,1,1,0
Inception,2010,4,8,0
Inside Job,2010,1,1,0
The King's Speech,2010,4,12,1
The Social Network,2010,3,8,0
Toy Story 3,2010,2,5,0
Avatar,2009,3,9,0
The Blind Side,2009,1,2,0
The Cove,2009,1,1,0
Crazy Heart,2009,2,3,0
The Hurt Locker,2009,6,9,1
Inglourious Basterds,2009,1,8,0
Logorama,2009,1,1,0
Music by Prudence,2009,1,1,0
The New Tenants,2009,1,1,0
"Precious: Based on the Novel ""Push"" by Sapphire",2009,2,6,0
The Secret in Their Eyes,2009,1,1,0
Star Trek,2009,1,4,0
Up,2009,2,5,0
The Young Victoria,2009,1,3,0
The Curious Case of Benjamin Button,2008,3,13,0
The Dark Knight,2008,2,8,0
Departures,2008,1,1,0
The Duchess,2008,1,2,0
Man on Wire,2008,1,1,0
Milk,2008,2,8,0
The Reader,2008,1,5,0
Slumdog Millionaire,2008,8,10,1
Vicky Cristina Barcelona,2008,1,1,0
WALL-E,2008,1,6,0
