Chapter,Word,Count
1,alice,27
1,sister,2
1,rabbit,6
1,cat,0
1,queen,0
1,king,0
1,caterpillar,0
1,madhatter,0
1,jacks,0
2,alice,24
2,sister,0
2,rabbit,3
2,cat,0
2,queen,0
2,king,0
2,caterpillar,0
2,madhatter,0
2,jacks,0
3,alice,23
3,sister,0
3,rabbit,0
3,cat,2
3,queen,0
3,king,0
3,caterpillar,0
3,madhatter,0
3,jacks,0
4,alice,30
4,sister,0
4,rabbit,13
4,cat,0
4,queen,0
4,king,0
4,caterpillar,0
4,madhatter,0
4,jacks,0
5,alice,35
5,sister,0
5,rabbit,3
5,cat,0
5,queen,0
5,king,0
5,caterpillar,25
5,madhatter,0
5,jacks,0
6,alice,43
6,sister,0
6,rabbit,0
6,cat,22
6,queen,4
6,king,0
6,caterpillar,0
6,madhatter,0
6,jacks,0
7,alice,50
7,sister,0
7,rabbit,0
7,cat,0
7,queen,2
7,king,0
7,caterpillar,0
7,madhatter,0
7,jacks,0
8,alice,30
8,sister,0
8,rabbit,4
8,cat,9
8,queen,21
8,king,9
8,caterpillar,0
8,madhatter,0
8,jacks,0
9,alice,47
9,sister,0
9,rabbit,0
9,cat,0
9,queen,13
9,king,2
9,caterpillar,0
9,madhatter,0
9,jacks,0
10,alice,30
10,sister,0
10,rabbit,0
10,cat,0
10,queen,0
10,king,0
10,caterpillar,0
10,madhatter,0
10,jacks,0
11,alice,16
11,sister,0
11,rabbit,8
11,cat,0
11,queen,9
11,king,26
11,caterpillar,0
11,madhatter,0
11,jacks,0
12,alice,22
12,sister,5
12,rabbit,8
12,cat,0
12,queen,9
12,king,22
12,caterpillar,0
12,madhatter,0
12,jacks,0
